"unemp_benefit_number_total","unemp_benefit_number_male","unemp_benefit_number_female","unemp_benefit_yen_total","unemp_benefit_yen_male","unemp_benefit_yen_female","id","date","year","prefec_kanji","prefec"
8509,3167,5342,996291140,419750534,576540606,26,"2017-09-01",2017,"京都","Kyoto"
29610,11085,18525,3610671393,1541539457,2069131936,27,"2017-09-01",2017,"大阪","Osaka"
18922,7210,11712,2174233142,960268565,1213964577,28,"2017-09-01",2017,"兵庫","Hyogo"
4236,1738,2498,503754512,235941097,267813415,29,"2017-09-01",2017,"奈良","Nara"
3261,1258,2003,357623911,160188349,197435562,30,"2017-09-01",2017,"和歌山","Wakayama"
2091,863,1228,227927118,105562118,122365000,31,"2017-09-01",2017,"鳥取","Tottori"
2267,929,1338,247690587,113268632,134421955,32,"2017-09-01",2017,"島根","Shimane"
6488,2542,3946,707132413,314824298,392308115,33,"2017-09-01",2017,"岡山","Okayama"
9789,3520,6269,1079229664,444101994,635127670,34,"2017-09-01",2017,"広島","Hiroshima"
4220,1554,2666,458935344,195757505,263177839,35,"2017-09-01",2017,"山口","Yamaguchi"
2590,1097,1493,287012901,136036278,150976623,36,"2017-09-01",2017,"徳島","Tokushima"
3337,1268,2069,374411183,159465977,214945206,37,"2017-09-01",2017,"香川","Kagawa"
4698,1796,2902,517213752,231751491,285462261,38,"2017-09-01",2017,"愛媛","Ehime"
2924,1136,1788,322518103,140935488,181582615,39,"2017-09-01",2017,"高知","Kochi"
20419,7106,13313,2267152347,921543538,1345608809,40,"2017-09-01",2017,"福岡","Fukuoka"
3203,1150,2053,344281413,142553655,201727758,41,"2017-09-01",2017,"佐賀","Saga"
5424,1980,3444,574673284,243227851,331445433,42,"2017-09-01",2017,"長崎","Nagasaki"
7398,2791,4607,786545545,342833957,443711588,43,"2017-09-01",2017,"熊本","Kumamoto"
4702,1722,2980,492601104,207717984,284883120,44,"2017-09-01",2017,"大分","Oita"
4568,1656,2912,472225086,198311242,273913844,45,"2017-09-01",2017,"宮崎","Miyazaki"
6779,2437,4342,712747700,300306856,412440844,46,"2017-09-01",2017,"鹿児島","Kagoshima"
4826,1927,2899,520020774,237731422,282289352,47,"2017-09-01",2017,"沖縄","Okinawa"
401399,156087,245312,48738590316,21600989371,27137600945,99,"2017-10-01",2017,"全国","zenkoku"
